 gibbs p
 -3.208682192114892E8 4884107.849859728
 -3.2084541888866246E8 5799457.547942042
 -3.208226319746886E8 6714807.246024357
 -3.20799858372468E8 7630156.944106672
 -3.207770979862015E8 8545506.642188987
 -3.207543507213644E8 9460856.340271302
 -3.2073161648468053E8 1.0376206038353616E7
 -3.20708895184098E8 1.1291555736435931E7
 -3.206861867287653E8 1.2206905434518246E7
 -3.2066349102900743E8 1.312225513260056E7
 -3.206408079963039E8 1.4037604830682876E7
 -3.2061813754326576E8 1.495295452876519E7
 -3.205954795836144E8 1.5868304226847505E7
 -3.205728340321605E8 1.678365392492982E7
 -3.2055020080478346E8 1.7699003623012133E7
 -3.205275798184112E8 1.8614353321094446E7
 -3.205049709910009E8 1.952970301917676E7
 -3.2048237424152E8 2.044505271725907E7
 -3.204597894899275E8 2.1360402415341385E7
 -3.2043721665715575E8 2.2275752113423698E7
 -3.2041465566509324E8 2.319110181150601E7
 -3.2039210643656677E8 2.4106451509588324E7
 -3.2036956889532524E8 2.5021801207670636E7
 -3.203470429660228E8 2.593715090575295E7
 -3.2032452857420295E8 2.6852500603835262E7
 -3.203020256462833E8 2.7767850301917575E7
 -3.202795341095394E8 2.868319999999989E7

 -3.2095955658033013E8 1222709.0575304683
 -3.2106962771723795E8 1185995.2144319278
 -3.2118339221747905E8 1149281.3713333872
 -3.213010891440995E8 1112567.5282348467
 -3.2142298164179564E8 1075853.685136306
 -3.215493602825452E8 1039139.8420377657
